"year","country_a","country_b","gdp_pc_a","gdp_pc_b","gdp_pc_growth_a","gdp_pc_growth_b","difference","previous_year","clean_diff","percent_diff","ratio_index","irc"
2001,Czech Republic,Hungary,15399.89,10932.09,,,4467.80,,,,1.41,0.290
2002,Czech Republic,Hungary,15671.85,11483.07,1.77,5.04,4188.78,4467.80,-279,-6.25,1.36,0.267
2003,Czech Republic,Hungary,16238.13,11986.38,3.61,4.38,4251.75,4188.78,63,1.50,1.35,0.262
2004,Czech Republic,Hungary,17014.69,12592.32,4.78,5.06,4422.37,4251.75,171,4.01,1.35,0.260
2005,Czech Republic,Hungary,18112.87,13152.82,6.45,4.45,4960.05,4422.37,538,12.16,1.38,0.274
2006,Czech Republic,Hungary,19286.26,13704.34,6.48,4.19,5581.92,4960.05,622,12.54,1.41,0.289
2007,Czech Republic,Hungary,20242.10,13758.82,4.96,0.40,6483.28,5581.92,901,16.15,1.47,0.320
2008,Czech Republic,Hungary,20614.20,13928.80,1.84,1.24,6685.40,6483.28,202,3.12,1.48,0.324
2009,Czech Republic,Hungary,19542.47,13015.78,-5.20,-6.55,6526.69,6685.40,-159,-2.37,1.50,0.334
2010,Czech Republic,Hungary,19960.07,13191.62,2.14,1.35,6768.45,6526.69,242,3.70,1.51,0.339
2011,Czech Republic,Hungary,20269.49,13485.32,1.55,2.23,6784.17,6768.45,16,0.23,1.50,0.335
2012,Czech Republic,Hungary,20082.25,13367.99,-0.92,-0.87,6714.26,6784.17,-70,-1.03,1.50,0.334
2013,Czech Republic,Hungary,20066.38,13654.29,-0.08,2.14,6412.09,6714.26,-302,-4.50,1.47,0.320
2014,Czech Republic,Hungary,20498.71,14270.11,2.15,4.51,6228.60,6412.09,-183,-2.86,1.44,0.304
2015,Czech Republic,Hungary,21560.83,14850.43,5.18,4.07,6710.40,6228.60,482,7.74,1.45,0.311
2016,Czech Republic,Hungary,22065.47,15213.05,2.34,2.44,6852.42,6710.40,142,2.12,1.45,0.311
2017,Czech Republic,Hungary,23144.41,15912.01,4.89,4.59,7232.40,6852.42,380,5.55,1.45,0.312
2018,Czech Republic,Hungary,23804.98,16792.49,2.85,5.53,7012.49,7232.40,-220,-3.04,1.42,0.295
2019,Czech Republic,Hungary,24260.01,17579.84,1.91,4.69,6680.17,7012.49,-332,-4.74,1.38,0.275
2020,Czech Republic,Hungary,22843.04,16745.09,-5.84,-4.75,6097.95,6680.17,-582,-8.72,1.36,0.267
2001,Czech Republic,Poland,15399.89,8655.38,,,6744.51,,,,1.78,0.438
2002,Czech Republic,Poland,15671.85,8835.69,1.77,2.08,6836.16,6744.51,92,1.36,1.77,0.436
2003,Czech Republic,Poland,16238.13,9150.97,3.61,3.57,7087.16,6836.16,251,3.67,1.77,0.436
2004,Czech Republic,Poland,17014.69,9612.57,4.78,5.04,7402.12,7087.16,315,4.44,1.77,0.435
2005,Czech Republic,Poland,18112.87,9954.04,6.45,3.55,8158.83,7402.12,757,10.22,1.82,0.450
2006,Czech Republic,Poland,19286.26,10571.04,6.48,6.20,8715.22,8158.83,556,6.82,1.82,0.452
2007,Czech Republic,Poland,20242.10,11323.66,4.96,7.12,8918.44,8715.22,203,2.33,1.79,0.441
2008,Czech Republic,Poland,20614.20,11797.64,1.84,4.19,8816.56,8918.44,-102,-1.14,1.75,0.428
2009,Czech Republic,Poland,19542.47,12123.55,-5.20,2.76,7418.92,8816.56,-1398,-15.85,1.61,0.380
2010,Czech Republic,Poland,19960.07,12613.01,2.14,4.04,7347.06,7418.92,-72,-0.97,1.58,0.368
2011,Czech Republic,Poland,20269.49,13205.99,1.55,4.70,7063.50,7347.06,-284,-3.86,1.53,0.348
2012,Czech Republic,Poland,20082.25,13380.99,-0.92,1.33,6701.26,7063.50,-362,-5.13,1.50,0.334
2013,Czech Republic,Poland,20066.38,13539.80,-0.08,1.19,6526.58,6701.26,-175,-2.61,1.48,0.325
2014,Czech Republic,Poland,20498.71,14007.73,2.15,3.46,6490.98,6526.58,-36,-0.55,1.46,0.317
2015,Czech Republic,Poland,21560.83,14610.88,5.18,4.31,6949.95,6490.98,459,7.07,1.48,0.322
2016,Czech Republic,Poland,22065.47,15076.39,2.34,3.19,6989.08,6949.95,39,0.56,1.46,0.317
2017,Czech Republic,Poland,23144.41,15802.70,4.89,4.82,7341.71,6989.08,353,5.05,1.46,0.317
2018,Czech Republic,Poland,23804.98,16648.77,2.85,5.35,7156.21,7341.71,-186,-2.53,1.43,0.301
2019,Czech Republic,Poland,24260.01,17409.03,1.91,4.57,6850.98,7156.21,-305,-4.27,1.39,0.282
2020,Czech Republic,Poland,22843.04,16945.24,-5.84,-2.66,5897.80,6850.98,-953,-13.91,1.35,0.258
2001,Czech Republic,Slovakia,15399.89,10686.40,,,4713.49,,,,1.44,0.306
2002,Czech Republic,Slovakia,15671.85,11172.35,1.77,4.55,4499.50,4713.49,-214,-4.54,1.40,0.287
2003,Czech Republic,Slovakia,16238.13,11794.49,3.61,5.57,4443.64,4499.50,-56,-1.24,1.38,0.274
2004,Czech Republic,Slovakia,17014.69,12419.64,4.78,5.30,4595.05,4443.64,151,3.41,1.37,0.270
2005,Czech Republic,Slovakia,18112.87,13240.95,6.45,6.61,4871.92,4595.05,277,6.03,1.37,0.269
2006,Czech Republic,Slovakia,19286.26,14364.86,6.48,8.49,4921.40,4871.92,49,1.02,1.34,0.255
2007,Czech Republic,Slovakia,20242.10,15916.23,4.96,10.80,4325.87,4921.40,-596,-12.10,1.27,0.214
2008,Czech Republic,Slovakia,20614.20,16789.13,1.84,5.48,3825.07,4325.87,-501,-11.58,1.23,0.186
2009,Czech Republic,Slovakia,19542.47,15852.06,-5.20,-5.58,3690.41,3825.07,-135,-3.52,1.23,0.189
2010,Czech Republic,Slovakia,19960.07,16767.14,2.14,5.77,3192.93,3690.41,-497,-13.48,1.19,0.160
2011,Czech Republic,Slovakia,20269.49,17222.32,1.55,2.71,3047.17,3192.93,-146,-4.57,1.18,0.150
2012,Czech Republic,Slovakia,20082.25,17519.14,-0.92,1.72,2563.11,3047.17,-484,-15.89,1.15,0.128
2013,Czech Republic,Slovakia,20066.38,17616.97,-0.08,0.56,2449.41,2563.11,-114,-4.44,1.14,0.122
2014,Czech Republic,Slovakia,20498.71,18064.80,2.15,2.54,2433.91,2449.41,-16,-0.63,1.13,0.119
2015,Czech Republic,Slovakia,21560.83,18916.62,5.18,4.72,2644.21,2433.91,210,8.64,1.14,0.123
2016,Czech Republic,Slovakia,22065.47,19295.16,2.34,2.00,2770.31,2644.21,126,4.77,1.14,0.126
2017,Czech Republic,Slovakia,23144.41,19841.18,4.89,2.83,3303.23,2770.31,533,19.24,1.17,0.143
2018,Czech Republic,Slovakia,23804.98,20536.95,2.85,3.51,3268.03,3303.23,-35,-1.07,1.16,0.137
2019,Czech Republic,Slovakia,24260.01,21024.28,1.91,2.37,3235.73,3268.03,-32,-0.99,1.15,0.133
2020,Czech Republic,Slovakia,22843.04,20007.55,-5.84,-4.84,2835.49,3235.73,-400,-12.37,1.14,0.124
2001,Hungary,Poland,10932.09,8655.38,,,2276.71,,,,1.26,0.208
2002,Hungary,Poland,11483.07,8835.69,5.04,2.08,2647.38,2276.71,371,16.28,1.30,0.231
2003,Hungary,Poland,11986.38,9150.97,4.38,3.57,2835.41,2647.38,188,7.10,1.31,0.237
2004,Hungary,Poland,12592.32,9612.57,5.06,5.04,2979.75,2835.41,144,5.09,1.31,0.237
2005,Hungary,Poland,13152.82,9954.04,4.45,3.55,3198.78,2979.75,219,7.35,1.32,0.243
2006,Hungary,Poland,13704.34,10571.04,4.19,6.20,3133.30,3198.78,-65,-2.05,1.30,0.229
2007,Hungary,Poland,13758.82,11323.66,0.40,7.12,2435.16,3133.30,-698,-22.28,1.22,0.177
2008,Hungary,Poland,13928.80,11797.64,1.24,4.19,2131.16,2435.16,-304,-12.48,1.18,0.153
2009,Hungary,Poland,13015.78,12123.55,-6.55,2.76,892.23,2131.16,-1239,-58.13,1.07,0.069
2010,Hungary,Poland,13191.62,12613.01,1.35,4.04,578.61,892.23,-314,-35.15,1.05,0.044
2011,Hungary,Poland,13485.32,13205.99,2.23,4.70,279.33,578.61,-299,-51.72,1.02,0.021
2012,Hungary,Poland,13367.99,13380.99,-0.87,1.33,-13.00,279.33,-292,-104.65,1.00,0.001
2013,Hungary,Poland,13654.29,13539.80,2.14,1.19,114.49,-13.00,127,-980.69,1.01,0.008
2014,Hungary,Poland,14270.11,14007.73,4.51,3.46,262.38,114.49,148,129.17,1.02,0.018
2015,Hungary,Poland,14850.43,14610.88,4.07,4.31,239.55,262.38,-23,-8.70,1.02,0.016
2016,Hungary,Poland,15213.05,15076.39,2.44,3.19,136.66,239.55,-103,-42.95,1.01,0.009
2017,Hungary,Poland,15912.01,15802.70,4.59,4.82,109.31,136.66,-27,-20.01,1.01,0.007
2018,Hungary,Poland,16792.49,16648.77,5.53,5.35,143.72,109.31,34,31.48,1.01,0.009
2019,Hungary,Poland,17579.84,17409.03,4.69,4.57,170.81,143.72,27,18.85,1.01,0.010
2020,Hungary,Poland,16745.09,16945.24,-4.75,-2.66,-200.15,170.81,-371,-217.18,0.99,0.012
2001,Hungary,Slovakia,10932.09,10686.40,,,245.69,,,,1.02,0.022
2002,Hungary,Slovakia,11483.07,11172.35,5.04,4.55,310.72,245.69,65,26.47,1.03,0.027
2003,Hungary,Slovakia,11986.38,11794.49,4.38,5.57,191.89,310.72,-119,-38.24,1.02,0.016
2004,Hungary,Slovakia,12592.32,12419.64,5.06,5.30,172.68,191.89,-19,-10.01,1.01,0.014
2005,Hungary,Slovakia,13152.82,13240.95,4.45,6.61,-88.13,172.68,-261,-151.04,0.99,0.007
2006,Hungary,Slovakia,13704.34,14364.86,4.19,8.49,-660.52,-88.13,-572,649.48,0.95,0.046
2007,Hungary,Slovakia,13758.82,15916.23,0.40,10.80,-2157.41,-660.52,-1497,226.62,0.86,0.136
2008,Hungary,Slovakia,13928.80,16789.13,1.24,5.48,-2860.33,-2157.41,-703,32.58,0.83,0.170
2009,Hungary,Slovakia,13015.78,15852.06,-6.55,-5.58,-2836.28,-2860.33,24,-0.84,0.82,0.179
2010,Hungary,Slovakia,13191.62,16767.14,1.35,5.77,-3575.52,-2836.28,-739,26.06,0.79,0.213
2011,Hungary,Slovakia,13485.32,17222.32,2.23,2.71,-3737.00,-3575.52,-161,4.52,0.78,0.217
2012,Hungary,Slovakia,13367.99,17519.14,-0.87,1.72,-4151.15,-3737.00,-414,11.08,0.76,0.237
2013,Hungary,Slovakia,13654.29,17616.97,2.14,0.56,-3962.68,-4151.15,188,-4.54,0.78,0.225
2014,Hungary,Slovakia,14270.11,18064.80,4.51,2.54,-3794.69,-3962.68,168,-4.24,0.79,0.210
2015,Hungary,Slovakia,14850.43,18916.62,4.07,4.72,-4066.19,-3794.69,-272,7.15,0.79,0.215
2016,Hungary,Slovakia,15213.05,19295.16,2.44,2.00,-4082.11,-4066.19,-16,0.39,0.79,0.212
2017,Hungary,Slovakia,15912.01,19841.18,4.59,2.83,-3929.17,-4082.11,153,-3.75,0.80,0.198
2018,Hungary,Slovakia,16792.49,20536.95,5.53,3.51,-3744.46,-3929.17,185,-4.70,0.82,0.182
2019,Hungary,Slovakia,17579.84,21024.28,4.69,2.37,-3444.44,-3744.46,300,-8.01,0.84,0.164
2020,Hungary,Slovakia,16745.09,20007.55,-4.75,-4.84,-3262.46,-3444.44,182,-5.28,0.84,0.163
2001,Poland,Slovakia,8655.38,10686.40,,,-2031.02,,,,0.81,0.190
2002,Poland,Slovakia,8835.69,11172.35,2.08,4.55,-2336.66,-2031.02,-306,15.05,0.79,0.209
2003,Poland,Slovakia,9150.97,11794.49,3.57,5.57,-2643.52,-2336.66,-307,13.13,0.78,0.224
2004,Poland,Slovakia,9612.57,12419.64,5.04,5.30,-2807.07,-2643.52,-164,6.19,0.77,0.226
2005,Poland,Slovakia,9954.04,13240.95,3.55,6.61,-3286.91,-2807.07,-480,17.09,0.75,0.248
2006,Poland,Slovakia,10571.04,14364.86,6.20,8.49,-3793.82,-3286.91,-507,15.42,0.74,0.264
2007,Poland,Slovakia,11323.66,15916.23,7.12,10.80,-4592.57,-3793.82,-799,21.05,0.71,0.289
2008,Poland,Slovakia,11797.64,16789.13,4.19,5.48,-4991.49,-4592.57,-399,8.69,0.70,0.297
2009,Poland,Slovakia,12123.55,15852.06,2.76,-5.58,-3728.51,-4991.49,1263,-25.30,0.76,0.235
2010,Poland,Slovakia,12613.01,16767.14,4.04,5.77,-4154.13,-3728.51,-426,11.42,0.75,0.248
2011,Poland,Slovakia,13205.99,17222.32,4.70,2.71,-4016.33,-4154.13,138,-3.32,0.77,0.233
2012,Poland,Slovakia,13380.99,17519.14,1.33,1.72,-4138.15,-4016.33,-122,3.03,0.76,0.236
2013,Poland,Slovakia,13539.80,17616.97,1.19,0.56,-4077.17,-4138.15,61,-1.47,0.77,0.231
2014,Poland,Slovakia,14007.73,18064.80,3.46,2.54,-4057.07,-4077.17,20,-0.49,0.78,0.225
2015,Poland,Slovakia,14610.88,18916.62,4.31,4.72,-4305.74,-4057.07,-249,6.13,0.77,0.228
2016,Poland,Slovakia,15076.39,19295.16,3.19,2.00,-4218.77,-4305.74,87,-2.02,0.78,0.219
2017,Poland,Slovakia,15802.70,19841.18,4.82,2.83,-4038.48,-4218.77,180,-4.27,0.80,0.204
2018,Poland,Slovakia,16648.77,20536.95,5.35,3.51,-3888.18,-4038.48,150,-3.72,0.81,0.189
2019,Poland,Slovakia,17409.03,21024.28,4.57,2.37,-3615.25,-3888.18,273,-7.02,0.83,0.172
2020,Poland,Slovakia,16945.24,20007.55,-2.66,-4.84,-3062.31,-3615.25,553,-15.29,0.85,0.153
